SKU,型号P/N,类别,一级分类,分类路径,商品标题,单价USD,销量原文,销量(数值),评论数,标签(热门/新品),库存状态,可选配置,特性标签,主图URL,商品页URL,抓取日期,来源分类页
397455,S3220-5M,交换机整机/线卡,Switches,Switches > SME Switches,"S3220-5M, 5 x 2.5Gb RJ45, 1 x 10Gb SFP+, L2 Managed Switch",59.0,1 Sold,1,,New,,,Realtek | 10G Uplink | Multi-Gig | Fanless | Compact | VLAN,https://resource.fs.com/mall/mainImg/800x800/20260824105109l9ciwv.jpg,https://www.fs.com/products/397455.html,2026-09-02,https://www.fs.com/c/sme-switches-4235
346165,T5580-48Y8C,交换机整机/线卡,Switches,Switches > PicOS® Data Center Switches,"T5580-48Y8C, 48 x 25G SFP28, 8 x 100G QSFP28, PicOS®, Rack-level Visibility and Monitoring",14500.0,1 Sold,1,,,,,PicOS® | 2Tbps,https://resource.fs.com/mall/mainImg/800x800/202509051027385f9r8a.jpg,https://www.fs.com/products/346165.html,2026-09-02,https://www.fs.com/c/picos-data-center-switches-5125
391165,S3540L-24T,交换机整机/线卡,Switches,Switches > PicOS® Enterprise Switches,"S3540L-24T, 24 x 1Gb RJ45, 4 x 10Gb SFP+, PicOS®, L2+ Managed Switch",419.0,1 Sold,1,,New,,,BCM56150 | L2+ | OSPF | 1G RJ45,https://resource.fs.com/mall/mainImg/800x800/202608270944587qho0l.jpg,https://www.fs.com/products/391165.html,2026-09-02,https://www.fs.com/c/picos-enterprise-switches-4223
186776,S5860-48MG-U,交换机整机/线卡,Switches,Switches > PoE+ Switches,"S5860-48MG-U, 48 x 5Gb RJ45, 4 x 25Gb SFP28, 2 x 40Gb QSFP+, L3 Managed PoE++ Switch",5859.0,1 Sold,1,2,,,,BCM56170 | 90W PoE++ | Multi-Gig | BGP | Stacking | Airware Cloud,https://resource.fs.com/mall/mainImg/800x800/20251029154550j54z1c.jpg,https://www.fs.com/products/186776.html,2026-09-02,https://www.fs.com/c/poe-switches-3150
222987,S3270-48TM (PicOS),交换机整机/线卡,Switches,Switches > PicOS® Enterprise Switches,"S3270-48TM, 48 x 1Gb RJ45, 4 x 1/2.5Gb SFP, PicOS®, L2+ Managed Switch",536.0,1 Sold,1,,,,,BCM53547 | L2+ | OSPF | 1G RJ45,https://resource.fs.com/mall/mainImg/20230413095349dshhl5.jpg,https://www.fs.com/products/222987.html,2026-09-02,https://www.fs.com/c/picos-enterprise-switches-4223
324599,IES5110W-16U4XD,交换机整机/线卡,Switches,Switches > Industrial Ethernet Switches,"IES5110W-16U4XD, 16 x 1Gb M12, 2 x 10Gb M12, 2 x 10Gb Q-ODC, L3 Managed Industrial PoE+ Switch",4599.0,,,,,,,L3 PoE+ | IP40 | PTP | ERPS,https://resource.fs.com/mall/mainImg/800x800/20250828172324v6p774.jpg,https://www.fs.com/products/324599.html,2026-09-02,https://www.fs.com/c/industrial-ethernet-switches-4073
397457,S3220-8M,交换机整机/线卡,Switches,Switches > SME Switches,"S3220-8M, 8 x 2.5Gb RJ45, 1 x 10Gb SFP+, L2 Managed Switch",139.0,,,,New,,,Realtek | 10G Uplink | Multi-Gig | Fanless | Compact | VLAN,https://resource.fs.com/mall/mainImg/800x800/20260824112107ngf4dp.jpg,https://www.fs.com/products/397457.html,2026-09-02,https://www.fs.com/c/sme-switches-4235
324601,IES5120W-16U4XD,交换机整机/线卡,Switches,Switches > Industrial Ethernet Switches,"IES5120W-16U4XD, 16 x 1Gb M12, 2 x 10Gb M12, 2 x 10Gb Q-ODC, L3 Managed Industrial PoE+ Switch",4499.0,,,,,,,L3 PoE+ | IP40 | PTP | ERPS,https://resource.fs.com/mall/mainImg/800x800/202508281724432cgy1o.jpg,https://www.fs.com/products/324601.html,2026-09-02,https://www.fs.com/c/industrial-ethernet-switches-4073
324597,IES5100W-8U8T4XD,交换机整机/线卡,Switches,Switches > Industrial Ethernet Switches,"IES5100W-8U8T4XD, 16 x 1Gb M12, 2 x 10Gb M12, 2 x 10Gb Q-ODC, L3 Managed Industrial PoE+ Switch",4119.0,,,,,,,L3 PoE+ | IP40 | PTP | ERPS,https://resource.fs.com/mall/mainImg/800x800/20250828154853cj9qfj.jpg,https://www.fs.com/products/324597.html,2026-09-02,https://www.fs.com/c/industrial-ethernet-switches-4073
346167,T5580-32C,交换机整机/线卡,Switches,Switches > PicOS® Data Center Switches,"T5580-32C, 32 x 100G QSFP28, 2 x 10G SFP+, PicOS®, Rack-level Visibility and Monitoring",18500.0,,,,,,,PicOS® | 3.2Tbps,https://resource.fs.com/mall/mainImg/800x800/20250905102809kubkit.jpg,https://www.fs.com/products/346167.html,2026-09-02,https://www.fs.com/c/picos-data-center-switches-5125
346169,T8520-32D,交换机整机/线卡,Switches,Switches > PicOS® Data Center Switches,"T8520-32D, 32 x 400G QSFP-DD, PicOS®, Rack-level Visibility and Monitoring",36299.0,,,,,,,PicOS® | 12.8Tbps,https://resource.fs.com/mall/mainImg/800x800/20250919104929ntvgmg.jpg,https://www.fs.com/products/346169.html,2026-09-02,https://www.fs.com/c/picos-data-center-switches-5125
406391,S5580L-48Y,交换机整机/线卡,Switches,Switches > PicOS® Enterprise Switches,"S5580L-48Y, 48 x 25Gb SFP28, 8 x 100Gb QSFP28, PicOS®, L3 Managed Switch",5199.0,,,,New,,,TD3-X7 | L3 | MLAG | 25G SFP28,https://resource.fs.com/mall/mainImg/800x800/20260902094358dtpt0u.jpg,https://www.fs.com/products/406391.html,2026-09-02,https://www.fs.com/c/picos-enterprise-switches-4223
406393,S5580L-32C,交换机整机/线卡,Switches,Switches > PicOS® Enterprise Switches,"S5580L-32C, 32 x 100Gb QSFP28, 2 x 10Gb SFP+, PicOS®, L3 Managed Switch",6599.0,,,,New,,,TD3-X7 | L3 | MLAG | 100G QSFP28,https://resource.fs.com/mall/mainImg/800x800/20260901100233jkfvr9.jpg,https://www.fs.com/products/406393.html,2026-09-02,https://www.fs.com/c/picos-enterprise-switches-4223
352161,S8520-32D,交换机整机/线卡,Switches,Switches > PicOS® Enterprise Switches,"S8520-32D, 32 x 400Gb QSFP-DD, PicOS®, L3 Managed Switch",22399.0,,,,,,,TD4-X11 | L3 | MLAG | 400Gb QSFP-DD,https://resource.fs.com/mall/mainImg/800x800/20251209171148iqe76g.jpg,https://www.fs.com/products/352161.html,2026-09-02,https://www.fs.com/c/picos-enterprise-switches-4223
