SKU,型号P/N,一级分类,分类路径,商品标题,单价USD,销量原文,销量(数值),评论数,标签(热门/新品),库存状态,可选配置,特性标签,主图URL,商品页URL,抓取日期,来源分类页
110481,N8560-64C,Switches,Switches > Data Center Switches,"N8560-64C, 64 x 100Gb QSFP28, Data Center Switch",17749.0,158 Sold,158,11,Hot,,,TH2 | RoCEv2 | Stacking | MLAG,https://resource.fs.com/mall/mainImg/20250416164626piwumh.jpg,https://www.fs.com/products/110481.html,2026-09-02,https://www.fs.com/c/data-center-switches-3404
161348,IES5100-24TS-P,Switches,Switches > Industrial Ethernet Switches,"IES5100-24TS-P, 20 x 1Gb RJ45, 4 x 1Gb Combo, 8 x 1Gb SFP, 4 x 10Gb SFP+ L2+ Managed Industrial PoE++ Switch",2119.0,156 Sold,156,7,,,,720W | PTP | ERPS | Rack Mount | IP41,https://resource.fs.com/mall/mainImg/20221109122156gniiwl.jpg,https://www.fs.com/products/161348.html,2026-09-02,https://www.fs.com/c/industrial-ethernet-switches-4073
184653,S5500-48T6S,Switches,Switches > SME Switches,"S5500-48T6S, 48 x 1Gb RJ45, 6 x 10Gb SFP+, L3 Managed Switch",1369.0,155 Sold,155,3,,,,Realtek | 10G Uplink | Stacking | BGP | OSPF,https://resource.fs.com/mall/mainImg/20241211095421xwkixp.jpg,https://www.fs.com/products/184653.html,2026-09-02,https://www.fs.com/c/sme-switches-4235
206227,N8560-32C (PicOS),Switches,Switches > PicOS® Data Center Switches,"N8560-32C, 32 x 100Gb QSFP28, PicOS®, Data Center Switch",7919.0,152 Sold,152,3,,,,TD3-X7 | EVPN-VXLAN | MLAG | EVPN Multihoming,https://resource.fs.com/mall/mainImg/20231226161654meo5mr.jpg,https://www.fs.com/products/206227.html,2026-09-02,https://www.fs.com/c/picos-data-center-switches-5125
194651,PicOS-SVC-25G,Switches,Switches > PicOS® Data Center Switches (License&Service),"25G Switch PicOS® Standard Maintenance & Support, 1 Year (Per Device)",269.0,152 Sold,152,2,Hot,In Stock,1 Year / 3 Years / 5 Years,Technical Support | Software Updates & Upgrades | Email and Phone Support,https://resource.fs.com/mall/mainImg/800x800/202509011050097a6b2z.jpg,https://www.fs.com/products/194651.html,2026-09-02,https://www.fs.com/c/picos-data-center-switches-5125
194446,S8550-16Q8C,Switches,Switches > Enterprise Switches,"S8550-16Q8C, 16 x 40Gb QSFP+, 8 x 100Gb QSFP28, L3 Managed Switch",5250.0,151 Sold,151,,,,,L3 | EVPN-VXLAN | 40G OSFP+ | MLAG | MPLS | MACsec,https://resource.fs.com/mall/mainImg/20231102104214iclpxe.jpg,https://www.fs.com/products/194446.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
129082,PSU-150W-AC-S58,Switches,Switches > Enterprise Switches,"Hot-swappable AC Power Module 150W, for S5800-48F4SR, S5800-48T4S, S5850-24S2Q, S5850-24S2C, S5850-16T16BS2Q",339.0,151 Sold,151,1,,,,150W | 90-264VAC | Hot-swappable | Redundant,https://resource.fs.com/mall/products/800x800/129082.1629787528869.jpg,https://www.fs.com/products/129082.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
201297,IES5120-28TF,Switches,Switches > Industrial Ethernet Switches,"IES5120-28TF, 16 x 1Gb RJ45, 8 x 1Gb Combo, 4 x 1Gb SFP, L2+ Managed Industrial Switch",824.0,148 Sold,148,,,,,Marvell | L2+ | IP40 | PROFINET | MRP,https://resource.fs.com/mall/mainImg/800x800/20250819165706buo7q9.jpg,https://www.fs.com/products/201297.html,2026-09-02,https://www.fs.com/c/industrial-ethernet-switches-4073
152484,POEX4,Switches,Switches > Enterprise Switches,"POEX4, 4-Ports 10/100/1000M Gigabit PoE+ Extender",99.0,137 Sold,137,2,,,,802.3af/at | 65W | 50V-57V DC | Enterprise | LAN Access,https://resource.fs.com/mall/mainImg/20220705110920m6p7y4.jpg,https://www.fs.com/products/152484.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
329357,S3240-8T,Switches,Switches > SME Switches,"S3240-8T, 8 x 1Gb RJ45, 4 x 10Gb SFP+, L2+ Managed Switch",289.0,136 Sold,136,,,,,Realtek | 10G Uplink | Compact | Fanless | Stacking,https://resource.fs.com/mall/mainImg/800x800/20250816115027talo6e.jpg,https://www.fs.com/products/329357.html,2026-09-02,https://www.fs.com/c/sme-switches-4235
